logo,database_names,reason
Abu Dhabi Department of Economic Development (DED),Abu Dhabi Department of Economic Development (DED),"Not on Wikimedia, and added.gov.ae only offers raster logos about 276x66 px (header-logo-new.png, logo-black.png) with no SVG, so both are too small."
Abu Dhabi Department of Energy,Abu Dhabi Department of Energy,"Not on Wikimedia, and doe.gov.ae only has a 341x107 px header PNG with no SVG or larger version, so it is too small."
Abu Dhabi Department of Finance,Abu Dhabi Department of Finance,"Not on Wikimedia, and dof.abudhabi.ae, including its Corporate Identity page, only has logo.png (226x80) and logo.jpg (279x97), so both are too small."
Abu Dhabi Early Childhood Authority (ECA),Abu Dhabi Early Childhood Authority (ECA),"Not on Wikimedia, and eca.gov.ae only has a 113x70 px logo.webp plus a white version, with no SVG or larger file."
Abu Dhabi Executive Office,Abu Dhabi Executive Office,"ADEO has its own mark, but there is no Wikimedia file or Wikipedia page, and no public official website could be found (adeo.gov.ae and similar domains do not resolve)."
Abu Dhabi General Secretariat of the Executive Council,Abu Dhabi General Secretariat of the Executive Council,"This is a closed body, so the spec asks for its last logo, but that logo is not on Wikimedia and its old domain ecouncil.ae now redirects to abudhabi.gov.ae."
Abu Dhabi Motorsport Management,Abu Dhabi Motorsport Management,"Ethara is not on Wikimedia, and ethara.com only publishes its logo in white (footer-logo.svg) plus a square E icon, with no dark or colour version; the old ADMM site no longer resolves."
Abu Dhabi Sports Council,Abu Dhabi Sports Council,"Not on Wikimedia (no en or ar infobox logo), and adsc.gov.ae resets or returns 503 to automated requests, including with a browser user agent, so its logo file could not be reached."
Adaa,Adaa,"The only Wikimedia file (Arabic Wikipedia) is 199x77 px, too small, and adaa.gov.sa returns Cloudflare 403 to both the bot and browser user agents."
Adam Smith International,Adam Smith International,"Neither channel yielded a logo: Wikimedia has no logo file for this organisation, and every request to the official site, including the theme asset paths, returned a SiteGround captcha page."
Advising Families Across Generations (STEP),Advising Families Across Generations (STEP),"Neither channel yielded a logo: the Wikipedia infobox has no logo and Commons has no STEP logo, and step.org returns 403 to automated requests even with a browser user agent."
Aerospace Holding,Aerospace Holding,"Identity unclear. No UAE company trading as 'Aerospace Holding (Company)' could be confirmed. Candidates: Dubai Aerospace Enterprise (already in the library as dubai-aerospace-enterprise.png), Mubadala Aerospace, Abu Dhabi Aviation."
Air Partner,Air Partner,"The last logo Air Partner used ('Air Partner, a Wheels Up company') is only 296px on Commons, which is below the 400px minimum. The 2022 Air Partner logo on Commons (500px) stayed blocked by Wikimedia 429 errors, and the official site now redirects to Wheels Up."
Ajman Public Transport Corporation,Ajman Public Transport Corporation,"The Commons logo is only 156x95px (too small), and the official site (ta.gov.ae / at.gov.ae) could not be reached through the proxy. The successor link is inferred and not confirmed."
Akkök Holding,Akkök Holding,"The Commons logo is only 72x123px (too small), and akkok.com.tr fails TLS verification through the proxy (incomplete certificate chain), so its logo files could not be downloaded."
