target,database_names,status,file,display_name,organisation_identified,channel,source_url,reason
ABB,ABB,done,abb.png,ABB,ABB Ltd (Switzerland; UAE operations),wikimedia,https://upload.wikimedia.org/wikipedia/commons/0/00/ABB_logo.svg,
AES,AES Electric,done,aes.png,AES,"The AES Corporation (USA), parent of AES Electric Ltd (UK)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/d/d0/AES_Corporation_logo.svg,
AMICO,AMICO,done,amico-group.png,AMICO,AMICO Group / Al Amin Medical Instruments Company (Saudi Arabia),official-site,https://www.amicogroup.com/wp-content/uploads/2025/06/Amico-Logo-1.svg,Not on Wikimedia; header SVG from amicogroup.com.
Abdulkadir Al Muhaidib and Sons company,Abdulkadir Al Muhaidib and Sons company,done,al-muhaidib-group.png,Al Muhaidib,"Abdulkadir Al Muhaidib and Sons Company (Al Muhaidib Group), Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/en/7/71/ALMUHAIDIB_logo.png,"Bilingual lockup from the English Wikipedia Al-Muhaidib article. It matches the header logo on muhaidib.com, where the site only has it in white. almuhaidib.com (Almuhaidib Investment) is a different site and was not used."
Abraj Energy Services (ABRAJ),Abraj Energy Services (ABRAJ),done,abraj-energy-services.png,Abraj Energy Services,Abraj Energy Services SAOG (Oman),official-site,https://cdn.prod.website-files.com/69ca96b783e5b56c0c84593a/69d971ce1ab26457cab6459a_Abraj%20Logo%20(1).svg,Not on Wikimedia. The teal ABRAJ wordmark from abrajenergy.com; the brand has no separate symbol.
Abu Dhabi Airports,Abu Dhabi Airports,done,abu-dhabi-airports.png,Abu Dhabi Airports,"Abu Dhabi Airports Company (ADAC), UAE",wikimedia,https://upload.wikimedia.org/wikipedia/en/d/d9/AUH_airport_logo.png,"Current bilingual stacked lockup; raster source, 997px wide after trim."
Abu Dhabi Department of Community Development (DCD),Abu Dhabi Department of Community Development (DCD),done,abu-dhabi-dcd.png,Abu Dhabi Department of Community Development,"Department of Community Development, Government of Abu Dhabi (UAE)",official-site,https://www.addcd.gov.ae/-/media/Project/DCD/DCD-v2/Home/vectorpaint.svg,"Bilingual lockup with the Abu Dhabi emblem, from the site header."
Abu Dhabi Department of Economic Development (DED),Abu Dhabi Department of Economic Development (DED),failed,,Abu Dhabi Department of Economic Development,"Abu Dhabi Department of Economic Development (ADDED), UAE",,,"Not on Wikimedia, and added.gov.ae only offers raster logos about 276x66 px (header-logo-new.png, logo-black.png) with no SVG, so both are too small."
Abu Dhabi Department of Energy,Abu Dhabi Department of Energy,failed,,Abu Dhabi Department of Energy,"Department of Energy, Abu Dhabi (UAE)",,,"Not on Wikimedia, and doe.gov.ae only has a 341x107 px header PNG with no SVG or larger version, so it is too small."
Abu Dhabi Department of Finance,Abu Dhabi Department of Finance,failed,,Abu Dhabi Department of Finance,"Department of Finance, Abu Dhabi (UAE)",,,"Not on Wikimedia, and dof.abudhabi.ae, including its Corporate Identity page, only has logo.png (226x80) and logo.jpg (279x97), so both are too small."
